,name,link,HOF,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
152,Bam Adebayo,/players/a/adebaba01.html,False,Career,,,NBA,C,231,127,25.7,4.1,7.3,0.557,0.0,0.2,0.139,4.1,7.2,0.5670000000000001,0.5589999999999999,2.6,3.6,0.715,2.0,5.7,7.7,3.0,0.8,0.9,1.8,2.4,10.8
153,LaMarcus Aldridge,/players/a/aldrila01.html,False,Career,,,NBA,PF,1011.0,970.0,34.4,7.9,16.1,0.491,0.2,0.6,0.311,7.7,15.5,0.498,0.49700000000000005,3.5,4.4,0.8109999999999999,2.7,5.7,8.3,2.0,0.7,1.1,1.6,2.5,19.5
154,Giannis Antetokounmpo,/players/a/antetgi01.html,False,Career,,,NBA,SG,538,473,32.4,7.4,14.0,0.526,0.6,2.1,0.284,6.8,11.9,0.569,0.5479999999999999,4.8,6.7,0.72,1.7,7.2,8.9,4.3,1.2,1.3,2.8,3.0,20.2
155,Deandre Ayton,/players/a/aytonde01.html,False,Career,,,NBA,C,120,113,31.3,7.3,12.9,0.569,0.0,0.2,0.19,7.3,12.7,0.575,0.5710000000000001,1.9,2.5,0.7390000000000001,3.4,7.4,10.7,1.8,0.8,1.1,1.9,3.0,16.6
156,RJ Barrett,/players/b/barrerj01.html,False,Career,,,NBA,SG,67,66,31.7,5.3,13.6,0.39399999999999996,1.1,3.7,0.29100000000000004,4.3,9.9,0.433,0.434,2.9,4.6,0.626,1.0,4.4,5.4,2.7,1.0,0.3,2.1,2.2,14.6
157,Devin Booker,/players/b/bookede01.html,False,Career,,,NBA,SG,353,328,33.6,7.7,17.2,0.45,2.0,5.5,0.354,5.8,11.7,0.495,0.507,5.1,5.8,0.8690000000000001,0.5,3.1,3.6,4.7,0.8,0.3,3.3,3.1,22.5
158,Jaylen Brown,/players/b/brownja02.html,False,Career,,,NBA,SG,289,182,26.6,5.1,10.7,0.473,1.4,3.8,0.373,3.6,6.9,0.528,0.54,2.0,2.9,0.6829999999999999,0.9,3.7,4.5,1.5,0.9,0.4,1.5,2.4,13.6
159,Jimmy Butler,/players/b/butleji01.html,False,Career,,,NBA,SF,587.0,482.0,33.0,5.5,12.2,0.45399999999999996,0.9,2.6,0.331,4.7,9.6,0.48700000000000004,0.489,5.1,6.1,0.836,1.5,3.6,5.1,3.7,1.6,0.5,1.5,1.4,17.0
160,Anthony Davis,/players/d/davisan02.html,False,Career,,,NBA,PF,538.0,533.0,34.5,8.9,17.3,0.516,0.5,1.5,0.322,8.4,15.7,0.535,0.531,5.7,7.1,0.802,2.5,7.8,10.4,2.3,1.4,2.4,1.9,2.4,24.0
161,DeMar DeRozan,/players/d/derozde01.html,False,Career,,,NBA,SG,829.0,817.0,34.1,7.2,15.7,0.45799999999999996,0.4,1.5,0.284,6.8,14.2,0.47600000000000003,0.47200000000000003,5.2,6.3,0.83,0.7,3.6,4.4,3.6,1.0,0.3,2.0,2.3,20.1
162,Kevin Durant,/players/d/duranke01.html,False,Career,,,NBA,SF,857.0,857.0,36.9,9.2,18.7,0.493,1.9,4.9,0.382,7.4,13.8,0.532,0.5429999999999999,6.8,7.7,0.882,0.7,6.3,7.1,4.1,1.1,1.1,3.1,1.9,27.0
163,Joel Embiid,/players/e/embiijo01.html,False,Career,,,NBA,Did Not Play (injury—foot),219,219,30.5,8.0,16.6,.483,1.1,3.6,.321,6.9,13.1,.526,.517,6.9,8.6,.796,2.4,9.1,11.5,3.1,0.8,1.8,3.5,3.3,24.1
164,Paul George,/players/g/georgpa01.html,False,Career,,,NBA,SG,662.0,614.0,33.5,6.8,15.6,0.434,2.5,6.4,0.384,4.3,9.2,0.47,0.514,4.0,4.8,0.847,0.9,5.5,6.4,3.4,1.7,0.4,2.6,2.7,20.0
165,Rudy Gobert,/players/g/goberru01.html,False,Career,,,NBA,C,485,393,29.5,4.3,6.8,0.637,0.0,0.0,0.0,4.3,6.8,0.638,0.637,3.1,4.9,0.628,3.3,7.8,11.0,1.4,0.7,2.2,1.6,2.6,11.7
166,Blake Griffin,/players/g/griffbl01.html,False,Career,,,NBA,PF,629,629,34.8,8.1,16.2,.497,0.7,2.0,.331,7.4,14.2,.521,.518,4.8,6.9,.694,2.1,6.7,8.8,4.4,0.9,0.5,2.6,2.8,21.6
167,James Harden,/players/h/hardeja01.html,False,Career,,,NBA,SG,841.0,628.0,34.3,7.4,16.7,0.44299999999999995,2.8,7.7,0.363,4.6,9.0,0.511,0.527,7.5,8.8,0.858,0.8,4.6,5.3,6.3,1.6,0.5,3.7,2.6,25.2
168,Montrezl Harrell,/players/h/harremo01.html,False,Career,,,NBA,C,330.0,25.0,21.0,5.2,8.4,0.614,0.0,0.2,0.094,5.2,8.3,0.624,0.615,2.3,3.6,0.642,1.8,3.2,5.0,1.3,0.6,0.9,1.2,2.2,12.7
169,Jrue Holiday,/players/h/holidjr01.html,False,Career,,,NBA,PG,724.0,651.0,33.2,6.3,13.8,0.45299999999999996,1.3,3.7,0.355,5.0,10.1,0.489,0.5,2.0,2.6,0.778,0.9,3.1,3.9,6.4,1.5,0.5,2.7,2.3,15.9
170,Brandon Ingram,/players/i/ingrabr01.html,False,Career,,,NBA,SF,261.0,222.0,32.3,6.0,13.1,0.45899999999999996,1.1,3.2,0.36,4.9,10.0,0.49,0.502,3.4,4.7,0.7290000000000001,0.8,4.3,5.1,3.3,0.7,0.6,2.3,2.5,16.6
171,Kyrie Irving,/players/i/irvinky01.html,False,Career,,,NBA,PG,535.0,535.0,33.8,8.3,17.7,0.466,2.1,5.5,0.391,6.1,12.2,0.5,0.527,3.8,4.4,0.878,0.8,3.0,3.7,5.7,1.3,0.4,2.6,2.2,22.5
172,LeBron James,/players/j/jamesle01.html,False,Career,,,NBA,SF,1277.0,1276.0,38.3,9.9,19.6,0.503,1.5,4.3,0.344,8.4,15.2,0.5489999999999999,0.542,5.8,7.9,0.7340000000000001,1.2,6.3,7.4,7.4,1.6,0.8,3.5,1.8,27.0
173,Zach LaVine,/players/l/lavinza01.html,False,Career,,,NBA,SG,364.0,277.0,30.9,6.5,14.4,0.449,1.9,5.0,0.375,4.6,9.4,0.488,0.514,3.2,3.8,0.8220000000000001,0.5,3.2,3.7,3.6,1.0,0.3,2.6,2.2,18.0
174,Kawhi Leonard,/players/l/leonaka01.html,False,Career,,,NBA,SF,533.0,506.0,31.1,6.8,13.8,0.49,1.5,3.8,0.384,5.3,9.9,0.532,0.544,3.8,4.5,0.855,1.2,5.2,6.4,2.7,1.8,0.7,1.6,1.7,18.8
175,Damian Lillard,/players/l/lillada01.html,False,Career,,,NBA,PG,625,625,36.4,8.0,18.2,0.43700000000000006,2.9,7.8,0.373,5.1,10.5,0.485,0.517,5.4,6.1,0.889,0.6,3.6,4.2,6.5,1.0,0.3,2.8,2.0,24.2
176,Kyle Lowry,/players/l/lowryky01.html,False,Career,,,NBA,PG,923.0,687.0,31.6,4.7,11.2,0.423,1.9,5.1,0.365,2.9,6.1,0.47100000000000003,0.506,3.5,4.3,0.81,0.8,3.5,4.3,6.2,1.4,0.3,2.3,2.7,14.8
177,CJ McCollum,/players/m/mccolcj01.html,False,Career,,,NBA,SG,491,394,31.0,7.2,15.7,0.455,2.2,5.4,0.39899999999999997,5.0,10.3,0.484,0.524,2.2,2.6,0.828,0.6,2.7,3.3,3.2,0.9,0.4,1.7,2.2,18.7
178,Khris Middleton,/players/m/middlkh01.html,False,Career,,,NBA,SF,528.0,453.0,31.5,6.0,13.0,0.46,1.8,4.5,0.395,4.2,8.5,0.495,0.528,2.7,3.0,0.877,0.6,4.1,4.7,3.4,1.2,0.2,1.9,2.6,16.4
179,Donovan Mitchell,/players/m/mitchdo01.html,False,Career,,,NBA,SG,236,228,33.8,8.3,18.9,0.43799999999999994,2.5,6.9,0.35700000000000004,5.8,11.9,0.485,0.503,3.7,4.5,0.8220000000000001,0.7,3.3,4.0,4.1,1.3,0.3,2.8,2.6,22.7
